
 При x = 213 и eps = 1e-010 таблица выглядит следующим образом: 
|________i_______|________a_______|________S_______|
|        0       |            1   |            1   |
|        1       |          426   |          427   |
|        2       |        68054   |        68480   |
|        3       |  6.4424e+006   |  6.5109e+006   |
|        4       |  4.2882e+008   |  4.3533e+008   |
|        5       |  2.1921e+010   |  2.2357e+010   |
|        6       |  9.0791e+011   |  9.3027e+011   |
|        7       |  3.1573e+013   |  3.2503e+013   |
|        8       |  9.4571e+014   |  9.7822e+014   |
|        9       |  2.4869e+016   |  2.5847e+016   |
|       10       |  5.8267e+017   |  6.0852e+017   |
|       11       |  1.2308e+019   |  1.2917e+019   |
|       12       |  2.3668e+020   |   2.496e+020   |
|       13       |  4.1762e+021   |  4.4258e+021   |
|       14       |  6.8077e+022   |  7.2502e+022   |
|       15       |  1.0311e+024   |  1.1036e+024   |
|       16       |  1.4585e+025   |  1.5689e+025   |
|       17       |  1.9349e+026   |  2.0918e+026   |
|       18       |  2.4168e+027   |   2.626e+027   |
|       19       |   2.852e+028   |  3.1146e+028   |
|       20       |  3.1892e+029   |  3.5007e+029   |
|       21       |  3.3888e+030   |  3.7389e+030   |
|       22       |  3.4301e+031   |   3.804e+031   |
|       23       |  3.3147e+032   |  3.6951e+032   |
|       24       |  3.0644e+033   |  3.4339e+033   |
|       25       |  2.7153e+034   |  3.0587e+034   |
|       26       |    2.31e+035   |  2.6159e+035   |
|       27       |  1.8898e+036   |  2.1514e+036   |
|       28       |   1.489e+037   |  1.7041e+037   |
|       29       |  1.1313e+038   |  1.3017e+038   |
|       30       |  8.3002e+038   |   9.602e+038   |
|       31       |   5.887e+039   |  6.8472e+039   |
|       32       |   4.041e+040   |  4.7257e+040   |
|       33       |  2.6873e+041   |  3.1599e+041   |
|       34       |   1.733e+042   |   2.049e+042   |
|       35       |  1.0848e+043   |  1.2897e+043   |
|       36       |  6.5968e+043   |  7.8865e+043   |
|       37       |  3.9002e+044   |  4.6889e+044   |
|       38       |  2.2437e+045   |  2.7126e+045   |
|       39       |  1.2568e+046   |  1.5281e+046   |
|       40       |    6.86e+046   |  8.3881e+046   |
|       41       |  3.6508e+047   |  4.4896e+047   |
|       42       |  1.8955e+048   |  2.3445e+048   |
|       43       |  9.6079e+048   |  1.1952e+049   |
|       44       |  4.7568e+049   |  5.9521e+049   |
|       45       |  2.3016e+050   |  2.8968e+050   |
|       46       |  1.0889e+051   |  1.3786e+051   |
|       47       |  5.0398e+051   |  6.4184e+051   |
|       48       |   2.283e+052   |  2.9249e+052   |
|       49       |  1.0127e+053   |  1.3052e+053   |
|       50       |  4.4002e+053   |  5.7054e+053   |
|       51       |  1.8738e+054   |  2.4443e+054   |
|       52       |  7.8229e+054   |  1.0267e+055   |
|       53       |  3.2032e+055   |    4.23e+055   |
|       54       |  1.2869e+056   |  1.7099e+056   |
|       55       |  5.0744e+056   |  6.7843e+056   |
|       56       |  1.9646e+057   |   2.643e+057   |
|       57       |    7.47e+057   |  1.0113e+058   |
|       58       |  2.7906e+058   |  3.8019e+058   |
|       59       |  1.0245e+059   |  1.4047e+059   |
|       60       |  3.6977e+059   |  5.1024e+059   |
|       61       |  1.3123e+060   |  1.8226e+060   |
|       62       |  4.5812e+060   |  6.4038e+060   |
|       63       |  1.5735e+061   |  2.2138e+061   |
|       64       |  5.3185e+061   |  7.5324e+061   |
|       65       |  1.7697e+062   |  2.5229e+062   |
|       66       |  5.7977e+062   |  8.3206e+062   |
|       67       |  1.8707e+063   |  2.7027e+063   |
|       68       |  5.9457e+063   |  8.6484e+063   |
|       69       |   1.862e+064   |  2.7269e+064   |
|       70       |  5.7468e+064   |  8.4737e+064   |
|       71       |  1.7483e+065   |  2.5957e+065   |
|       72       |  5.2439e+065   |  7.8396e+065   |
|       73       |   1.551e+066   |   2.335e+066   |
|       74       |  4.5248e+066   |  6.8598e+066   |
|       75       |  1.3022e+067   |  1.9882e+067   |
|       76       |  3.6976e+067   |  5.6857e+067   |
|       77       |  1.0361e+068   |  1.6047e+068   |
|       78       |  2.8657e+068   |  4.4704e+068   |
|       79       |  7.8242e+068   |  1.2295e+069   |
|       80       |  2.1092e+069   |  3.3387e+069   |
|       81       |   5.615e+069   |  8.9537e+069   |
|       82       |  1.4763e+070   |  2.3717e+070   |
|       83       |  3.8343e+070   |  6.2059e+070   |
|       84       |  9.8383e+070   |  1.6044e+071   |
|       85       |  2.4944e+071   |  4.0988e+071   |
|       86       |  6.2498e+071   |  1.0349e+072   |
|       87       |  1.5477e+072   |  2.5826e+072   |
|       88       |  3.7887e+072   |  6.3713e+072   |
|       89       |  9.1693e+072   |  1.5541e+073   |
|       90       |  2.1942e+073   |  3.7482e+073   |
|       91       |  5.1922e+073   |  8.9405e+073   |
|       92       |  1.2152e+074   |  2.1092e+074   |
|       93       |  2.8131e+074   |  4.9223e+074   |
|       94       |  6.4421e+074   |  1.1364e+075   |
|       95       |  1.4596e+075   |   2.596e+075   |
|       96       |  3.2722e+075   |  5.8683e+075   |
|       97       |  7.2595e+075   |  1.3128e+076   |
|       98       |  1.5939e+076   |  2.9067e+076   |
|       99       |   3.464e+076   |  6.3707e+076   |
|      100       |  7.4521e+076   |  1.3823e+077   |
|      101       |  1.5871e+077   |  2.9694e+077   |
|      102       |  3.3468e+077   |  6.3162e+077   |
|      103       |  6.9883e+077   |  1.3305e+078   |
|      104       |   1.445e+078   |  2.7755e+078   |
|      105       |  2.9592e+078   |  5.7347e+078   |
|      106       |  6.0025e+078   |  1.1737e+079   |
|      107       |  1.2061e+079   |  2.3798e+079   |
|      108       |  2.4006e+079   |  4.7804e+079   |
|      109       |  4.7342e+079   |  9.5146e+079   |
|      110       |  9.2504e+079   |  1.8765e+080   |
|      111       |  1.7911e+080   |  3.6676e+080   |
|      112       |  3.4367e+080   |  7.1042e+080   |
