Filename | Threshold | Size (Kbytes)

cartoon1.jpg | 0 | 66.422
cartoon1.jpg | 100 | 60.748
cartoon1.jpg | 150 | 50.308
cartoon1.jpg | 200 | 44.383
cartoon1.jpg | 250 | 40.032
cartoon1.jpg | 300 | 38.009
cartoon1.jpg | 350 | 37.014
cartoon1.jpg | 400 | 35.365
cartoon1.jpg | 450 | 33.935
cartoon1.jpg | 50 | 64.060
cartoon1.jpg | 500 | 31.736
cartoon1.jpg | 550 | 27.914
cartoon1.jpg | 600 | 24.299
cartoon1.jpg | 650 | 17.818
cartoon1.jpg | 700 | 14.676
cartoon2.jpg | 0 | 112.672
cartoon2.jpg | 100 | 92.250
cartoon2.jpg | 150 | 75.824
cartoon2.jpg | 200 | 63.996
cartoon2.jpg | 250 | 54.796
cartoon2.jpg | 300 | 44.943
cartoon2.jpg | 350 | 37.116
cartoon2.jpg | 400 | 33.712
cartoon2.jpg | 450 | 29.269
cartoon2.jpg | 50 | 107.471
cartoon2.jpg | 500 | 26.376
cartoon2.jpg | 550 | 24.537
cartoon2.jpg | 600 | 21.521
cartoon2.jpg | 650 | 19.658
cartoon2.jpg | 700 | 18.760
city.jpg | 0 | 126.845
city.jpg | 100 | 120.927
city.jpg | 150 | 110.411
city.jpg | 200 | 99.602
city.jpg | 250 | 89.715
city.jpg | 300 | 78.963
city.jpg | 350 | 65.867
city.jpg | 400 | 53.688
city.jpg | 450 | 40.320
city.jpg | 50 | 126.880
city.jpg | 500 | 29.971
city.jpg | 550 | 21.474
city.jpg | 600 | 18.479
city.jpg | 650 | 16.685
city.jpg | 700 | 14.676
nature.jpg | 0 | 94.014
nature.jpg | 100 | 79.045
nature.jpg | 150 | 68.065
nature.jpg | 200 | 59.722
nature.jpg | 250 | 54.885
nature.jpg | 300 | 49.169
nature.jpg | 350 | 44.836
nature.jpg | 400 | 41.353
nature.jpg | 450 | 37.698
nature.jpg | 50 | 90.330
nature.jpg | 500 | 35.211
nature.jpg | 550 | 29.513
nature.jpg | 600 | 22.111
nature.jpg | 650 | 19.247
nature.jpg | 700 | 14.676
paints.jpg | 0 | 112.458
paints.jpg | 100 | 105.807
paints.jpg | 150 | 94.385
paints.jpg | 200 | 81.786
paints.jpg | 250 | 68.895
paints.jpg | 300 | 54.129
paints.jpg | 350 | 44.315
paints.jpg | 400 | 32.588
paints.jpg | 450 | 26.368
paints.jpg | 50 | 112.726
paints.jpg | 500 | 21.131
paints.jpg | 550 | 17.985
paints.jpg | 600 | 17.737
paints.jpg | 650 | 14.676
paints.jpg | 700 | 14.676
space.jpg | 0 | 216.689
space.jpg | 100 | 200.532
space.jpg | 150 | 178.436
space.jpg | 200 | 149.533
space.jpg | 250 | 121.472
space.jpg | 300 | 97.124
space.jpg | 350 | 75.611
space.jpg | 400 | 58.033
space.jpg | 450 | 44.726
space.jpg | 50 | 213.919
space.jpg | 500 | 33.730
space.jpg | 550 | 24.286
space.jpg | 600 | 19.720
space.jpg | 650 | 16.135
space.jpg | 700 | 14.675
text.jpg | 0 | 51.936
text.jpg | 100 | 51.369
text.jpg | 150 | 49.952
text.jpg | 200 | 48.294
text.jpg | 250 | 47.458
text.jpg | 300 | 45.943
text.jpg | 350 | 38.236
text.jpg | 400 | 27.282
text.jpg | 450 | 17.607
text.jpg | 50 | 54.031
text.jpg | 500 | 14.676
text.jpg | 550 | 14.676
text.jpg | 600 | 14.676
text.jpg | 650 | 14.676
text.jpg | 700 | 14.676
